CLASE,tiltX,tiltY,motionX,motionY,motionZ,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0,-0.1342729926109314,-1.2507596015930176,0.9539732933044434,0.0378570556640625,1.0,0.0378570556640625,1.0009002685546875,-0.1734466552734375,0.4085129201412201,-0.7434189915657043,0.7255396246910095
0,-0.11852331459522247,-1.2477368116378784,0.9791534543037415,-0.0026397705078125,1.0,-0.0026397705078125,1.0709686279296875,-0.1370086669921875,0.23324070870876312,-0.34236133098602295,0.5584169626235962
0,-0.10421602427959442,-1.2458635568618774,0.998397707939148,-0.0212860107421875,1.0,-0.0212860107421875,1.0844573974609375,-0.1156005859375,-0.09638406336307526,-0.06353849917650223,0.4333652853965759
0,-0.07994361966848373,-1.2514125108718872,1.0238206386566162,-0.0284423828125,1.0,-0.0284423828125,1.0416717529296875,-0.150482177734375,-0.7219976186752319,0.27698633074760437,0.38860365748405457
0,-0.035050168633461,-1.276179552078247,1.0600751638412476,-0.0001373291015625,0.9868621826171875,-0.0001373291015625,0.9868621826171875,-0.3167572021484375,-0.8569402694702148,0.42462772130966187,0.41478174924850464
0,-0.01678072102367878,-1.2844537496566772,1.0733336210250854,0.0044097900390625,0.96588134765625,0.0044097900390625,0.96588134765625,-0.33087158203125,-0.6782991290092468,0.7912811040878296,0.31105828285217285
0,0.001957931322976947,-1.291502594947815,1.0848082304000854,0.00909423828125,0.9628448486328125,0.00909423828125,0.9628448486328125,-0.3292999267578125,-0.5188221335411072,1.1218746900558472,0.15698295831680298
0,0.019424360245466232,-1.2969651222229004,1.091615080833435,0.010467529296875,0.9722442626953125,0.010467529296875,0.9722442626953125,-0.3089447021484375,-0.34418347477912903,1.5891185998916626,-0.03840091824531555
0,0.03479943051934242,-1.3006932735443115,1.0915356874465942,0.0051116943359375,0.9720611572265625,0.0051116943359375,0.9720611572265625,-0.2906036376953125,-0.1544915735721588,2.1683003902435303,-0.24540816247463226
0,0.06681183725595474,-1.3007917404174805,1.0392405986785889,0.017181396484375,0.9642333984375,0.017181396484375,0.9642333984375,-0.281829833984375,0.4836236536502838,3.970407247543335,-0.946816086769104
0,0.07584626227617264,-1.2911611795425415,0.9620802998542786,0.04522705078125,0.9407806396484375,0.04522705078125,0.9407806396484375,-0.315887451171875,0.8459134101867676,4.772086143493652,-1.2274740934371948
0,0.07958181202411652,-1.283854603767395,0.9163106679916382,0.0642242431640625,0.9283905029296875,0.0642242431640625,0.9283905029296875,-0.3282318115234375,0.9638043642044067,5.070117473602295,-1.3222107887268066
0,0.08387743681669235,-1.2754508256912231,0.8678358197212219,0.081146240234375,0.9263763427734375,0.081146240234375,0.9263763427734375,-0.335235595703125,1.0347269773483276,5.3296380043029785,-1.3758997917175293
0,0.09004757553339005,-1.2664037942886353,0.8183789253234863,0.0982513427734375,0.9166107177734375,0.0982513427734375,0.9166107177734375,-0.33636474609375,1.0901708602905273,5.590237617492676,-1.3725452423095703
0,0.11374624073505402,-1.2473387718200684,0.7230242490768433,0.12939453125,0.9683380126953125,0.12939453125,0.9683380126953125,-0.366851806640625,1.1018339395523071,5.981605529785156,-1.2893846035003662
0,0.1318899393081665,-1.2379509210586548,0.6786819100379944,0.1595001220703125,0.964385986328125,0.1595001220703125,0.964385986328125,-0.3807373046875,1.094181776046753,6.217323303222656,-1.2096748352050781
0,0.155149444937706,-1.2288203239440918,0.6372334361076355,0.170318603515625,0.9656219482421875,0.170318603515625,0.9656219482421875,-0.389923095703125,1.1089410781860352,6.47253942489624,-1.176208734512329
0,0.21241314709186554,-1.211044192314148,0.5575745701789856,0.1610870361328125,0.9009552001953125,0.1610870361328125,0.9009552001953125,-0.4230804443359375,1.2053751945495605,6.851134777069092,-1.1639902591705322
0,0.24415257573127747,-1.2019885778427124,0.5178666114807129,0.1630401611328125,0.8557891845703125,0.1630401611328125,0.8557891845703125,-0.452667236328125,1.3148993253707886,6.918215274810791,-1.1590955257415771
0,0.2764750123023987,-1.192365050315857,0.47777408361434937,0.1506805419921875,0.83062744140625,0.1506805419921875,0.83062744140625,-0.4772186279296875,1.418810248374939,6.827700614929199,-1.1457140445709229
0,0.30796054005622864,-1.1821789741516113,0.43736523389816284,0.1480865478515625,0.808746337890625,0.1480865478515625,0.808746337890625,-0.4974212646484375,1.4783897399902344,6.621869087219238,-1.1207356452941895
0,0.3378986716270447,-1.1717759370803833,0.39724573493003845,0.146209716796875,0.8101959228515625,0.146209716796875,0.8101959228515625,-0.5046539306640625,1.4724843502044678,6.310593605041504,-1.0819534063339233
0,0.39212775230407715,-1.1521763801574707,0.321430504322052,0.1235198974609375,0.83612060546875,0.1235198974609375,0.83612060546875,-0.5263214111328125,1.3160310983657837,5.330961227416992,-0.8586385250091553
0,0.4168663024902344,-1.1433457136154175,0.28884655237197876,0.1331329345703125,0.8453216552734375,0.1331329345703125,0.8453216552734375,-0.547210693359375,1.2309130430221558,4.726343154907227,-0.639725923538208
0,0.4637649357318878,-1.1260067224502563,0.24022789299488068,0.142547607421875,0.9002685546875,0.142547607421875,0.9002685546875,-0.5138397216796875,1.1551491022109985,3.6260862350463867,-0.27607178688049316
0,0.4845230281352997,-1.1170203685760498,0.22195599973201752,0.1161346435546875,0.9599151611328125,0.1161346435546875,0.9599151611328125,-0.4718170166015625,1.0867912769317627,3.095912456512451,-0.2747631072998047
0,0.5009447336196899,-1.1086434125900269,0.20473037660121918,0.0826263427734375,0.9871063232421875,0.0826263427734375,0.9871063232421875,-0.442535400390625,0.959291398525238,2.5389280319213867,-0.34150514006614685
0,0.5120499134063721,-1.1017050743103027,0.18767228722572327,0.0876007080078125,0.9637603759765625,0.0876007080078125,0.9637603759765625,-0.421722412109375,0.784677267074585,2.067439079284668,-0.37990471720695496
0,0.5238239169120789,-1.0932680368423462,0.15744908154010773,0.130889892578125,0.9397430419921875,0.1007843017578125,0.9393463134765625,-0.3900909423828125,0.5828977823257446,1.6542483568191528,-0.4041152596473694
0,0.525892972946167,-1.0922188758850098,0.1447070986032486,0.1653900146484375,0.9438629150390625,0.130889892578125,0.9397430419921875,-0.3682861328125,0.3583946228027344,1.2750892639160156,-0.4609830677509308
0,0.526079535484314,-1.0957199335098267,0.12396372854709625,0.2129669189453125,0.9411773681640625,0.2129669189453125,0.9411773681640625,-0.321319580078125,-0.1198960468173027,0.6462722420692444,-0.5131847262382507
